latitude,longitude,altitude
45.834946,6.751439,1738.9
45.83511,6.751585,1737.9
45.835587,6.751797,1738.8
45.835484,6.751483,1737.1
45.835461,6.750706,1731.5
45.835903,6.750037,1724.0
45.836109,6.749547,1720.1
45.83617,6.74897,1714.7
45.836075,6.748721,1711.7
45.835846,6.748557,1709.8
45.835644,6.748234,1702.8
45.83535,6.748108,1700.9
45.834991,6.747743,1696.2
45.834499,6.74692,1682.7
45.834045,6.746543,1682.1
45.833984,6.746563,1683.9
45.83329,6.746179,1672.0
45.83289,6.746153,1670.4
45.832584,6.746017,1662.6
45.832329,6.746015,1661.1
45.832188,6.745948,1657.1
45.831833,6.74601,1657.5
45.831192,6.745867,1647.5
45.830902,6.745703,1641.5
45.830517,6.745052,1625.2
45.82999,6.744706,1620.5
45.829826,6.744425,1612.2
45.829453,6.744002,1600.6
45.829254,6.743965,1600.3
45.829147,6.743816,1596.0
45.829185,6.743692,1592.3
45.829517,6.743536,1586.3
45.829544,6.743472,1584.3
45.829399,6.743192,1576.9
45.829243,6.743038,1572.5
45.829304,6.742723,1563.9
45.829178,6.742309,1551.6
45.829243,6.741921,1540.0
45.829166,6.741845,1536.4
45.829315,6.741502,1525.4
45.82917,6.741539,1525.4
45.828869,6.741989,1536.2
45.828712,6.741987,1534.6
45.828171,6.741657,1528.0
45.828007,6.740528,1511.9
45.827866,6.740337,1512.2
45.827473,6.74003,1511.9
45.827271,6.740487,1515.0
45.826851,6.740784,1504.2
45.826542,6.741193,1505.1
45.826172,6.741174,1496.1
45.825394,6.740668,1473.3
45.825302,6.740706,1471.4
45.825237,6.740824,1470.3
45.825245,6.741132,1471.6
45.825455,6.742181,1465.0
45.825294,6.743032,1449.9
45.824974,6.743891,1442.1
45.824932,6.743914,1440.9
45.824909,6.743837,1439.0
45.824905,6.743903,1439.8
45.824917,6.743759,1438.3
45.824783,6.743792,1433.6
45.82502,6.743862,1443.9
45.824757,6.743867,1433.9
45.824364,6.743625,1423.2
45.824108,6.742855,1403.6
45.823639,6.741928,1385.4
45.823418,6.740735,1360.5
45.822998,6.739921,1349.9
45.822845,6.739465,1346.2
45.822971,6.739247,1333.0
45.823021,6.738835,1323.0
45.823009,6.738217,1311.7
45.822887,6.737724,1306.3
45.823071,6.735028,1260.4
45.82283,6.734624,1255.5
45.822731,6.733303,1236.4
45.822777,6.73322,1235.4
45.822639,6.733156,1233.9
45.822151,6.733142,1233.3
45.822067,6.733056,1232.6
45.822056,6.732924,1230.7
45.822124,6.732815,1228.9
45.822502,6.732609,1226.6
45.822498,6.732419,1224.1
45.822544,6.732536,1225.7
45.822456,6.731991,1218.7
45.822376,6.73174,1215.8
45.822067,6.731378,1210.8
45.821823,6.730845,1202.7
45.821766,6.730523,1197.3
45.821938,6.730207,1194.2
45.821938,6.729397,1185.4
45.821739,6.729405,1184.2
45.821529,6.729213,1181.4
45.821175,6.72755,1164.6
45.821293,6.727334,1162.7
45.821594,6.727054,1160.8
45.821751,6.727055,1161.5
45.821747,6.727219,1163.3
45.821693,6.727153,1162.3
45.821827,6.727381,1165.3
45.821705,6.727208,1163.0
45.821678,6.727034,1161.0
45.821587,6.727005,1160.1
45.82148,6.727147,1161.3
45.821362,6.726942,1157.7
45.821407,6.727044,1159.5
45.821373,6.727,1158.6
45.821365,6.726933,1157.5
45.821407,6.727047,1159.6
45.821358,6.726751,1153.5
45.821209,6.727323,1162.0
45.821495,6.727256,1162.7
45.821606,6.727091,1161.3
45.822098,6.726922,1160.6
45.822132,6.726719,1157.5
45.821873,6.726716,1156.4
45.821774,6.726584,1153.0
45.821888,6.726357,1148.7
45.821877,6.726215,1144.5
45.822033,6.725951,1137.7
45.822224,6.725863,1135.9
45.82272,6.725825,1133.1
45.823059,6.725677,1125.5
45.823261,6.725658,1123.0
45.823147,6.725528,1120.6
45.822811,6.725352,1120.1
45.822559,6.725322,1121.4
45.821075,6.725961,1132.1
45.820328,6.726645,1137.3
45.81953,6.727085,1137.0
45.81889,6.727146,1135.3
45.818451,6.727306,1136.7
45.817757,6.727418,1141.2
45.817265,6.727576,1146.2
45.81686,6.727485,1151.0
45.816525,6.727063,1148.8
45.816387,6.726999,1148.8
45.81641,6.726738,1148.0
45.816334,6.726656,1148.3
45.815807,6.726258,1151.6
45.815475,6.726171,1154.5
45.814568,6.726218,1157.0
45.814335,6.726384,1156.4
45.814083,6.726694,1157.2
45.813751,6.726877,1157.8
45.812321,6.726755,1159.7
45.811619,6.726883,1160.0
45.811111,6.727148,1160.0
45.810989,6.727476,1160.0
45.81068,6.727484,1160.6
45.810085,6.727282,1161.7
45.809402,6.726942,1163.2
45.808926,6.726362,1164.0
45.808186,6.726354,1165.5
45.807873,6.726108,1166.6
45.807346,6.725509,1166.2
45.807148,6.725427,1166.2
45.806946,6.725503,1166.8
45.806648,6.725762,1167.8
45.805614,6.725171,1172.4
45.804981,6.724958,1176.2
45.804325,6.724925,1176.3
45.803955,6.724777,1176.8
45.803539,6.724495,1177.0
45.803371,6.724487,1177.0
45.80312,6.724683,1177.0
45.802856,6.72471,1177.0
45.801598,6.72451,1177.3
45.799946,6.724082,1184.7
45.799683,6.72388,1184.5
45.799507,6.723356,1182.9
45.799286,6.722993,1182.4
45.797321,6.720954,1188.4
45.796513,6.720412,1191.5
45.795654,6.719582,1192.5
45.795261,6.719334,1196.3
45.794437,6.718651,1201.3
45.794151,6.718498,1203.5
45.793884,6.718531,1211.7
45.793865,6.718471,1209.8
45.793835,6.718521,1213.2
45.793518,6.718437,1222.5
45.793388,6.718292,1220.0
45.793205,6.718213,1228.3
45.792858,6.717796,1224.5
45.792686,6.717436,1216.3
45.791965,6.716683,1216.1
45.791634,6.716105,1214.2
45.791538,6.716155,1219.2
45.791473,6.716039,1219.3
45.791515,6.716011,1217.3
45.791637,6.71612,1214.4
45.791664,6.716027,1212.2
45.791573,6.716056,1215.9
45.791164,6.715681,1222.8
45.790524,6.715307,1243.8
45.790337,6.715103,1248.8
45.790344,6.715031,1244.4
45.790012,6.714889,1262.8
45.789886,6.714693,1258.7
45.789551,6.71459,1272.3
45.789112,6.714311,1278.2
45.788425,6.714052,1293.8
45.787865,6.713614,1298.7
45.78772,6.713586,1302.8
45.786736,6.713001,1311.0
45.786358,6.712847,1316.3
45.786148,6.71283,1320.7
45.785969,6.712898,1328.6
45.785679,6.712755,1328.7
45.784996,6.712609,1336.8
45.784515,6.712753,1348.6
45.784267,6.713038,1357.9
45.783901,6.713148,1357.1
45.783783,6.713256,1358.1
45.783234,6.714153,1365.4
45.783138,6.714536,1369.5
45.782848,6.71492,1374.3
45.782822,6.715055,1377.3
45.782616,6.715124,1378.7
45.782349,6.715108,1379.0
45.782177,6.715237,1381.7
45.782074,6.715228,1382.3
45.781658,6.715618,1388.8
45.781506,6.715564,1389.8
45.781605,6.715494,1388.3
45.781555,6.71548,1388.8
45.78141,6.715613,1391.2
45.781315,6.715327,1391.8
45.781364,6.715339,1390.8
45.781353,6.715404,1391.2
45.781292,6.715336,1392.3
45.781479,6.715388,1389.2
45.781441,6.715349,1389.6
45.781395,6.715467,1390.6
45.781303,6.715481,1392.6
45.781231,6.715326,1393.6
45.781029,6.715208,1399.3
45.780693,6.715178,1409.1
45.780167,6.715005,1421.4
45.77998,6.714922,1425.4
45.779694,6.714666,1432.2
45.779587,6.714672,1434.5
45.779545,6.714794,1434.2
45.779251,6.71493,1438.1
45.778454,6.714874,1450.8
45.77824,6.714708,1454.3
45.778019,6.714268,1465.0
45.777493,6.714471,1477.4
45.777195,6.714492,1487.2
45.777298,6.714522,1482.6
45.776836,6.714916,1481.9
45.776424,6.714998,1490.9
45.776405,6.714907,1495.5
45.776245,6.714968,1498.2
45.776085,6.715146,1496.3
45.775791,6.715285,1502.9
45.775604,6.715586,1501.9
45.775326,6.715767,1508.5
45.775082,6.715847,1513.2
45.774891,6.715774,1520.7
45.774452,6.715785,1527.0
45.774254,6.715834,1527.4
45.774071,6.716046,1521.8
45.774048,6.715985,1524.8
45.773949,6.715995,1526.4
45.774097,6.715946,1525.5
45.774147,6.716105,1517.7
45.773975,6.715918,1529.0
45.773438,6.715969,1537.9
45.773048,6.715806,1545.7
45.772659,6.715733,1546.5
45.771835,6.715802,1548.0
45.77153,6.715697,1550.0
45.771423,6.715509,1553.0
45.771271,6.715427,1553.7
45.770901,6.715361,1552.3
45.771473,6.715477,1553.8
45.770809,6.715358,1551.7
45.770042,6.71484,1550.7
45.769253,6.714708,1553.3
45.767925,6.714083,1561.1
45.766712,6.713108,1564.6
45.764973,6.712564,1579.2
45.764565,6.712342,1583.2
45.764164,6.712283,1584.6
45.763592,6.711983,1590.9
45.763103,6.711865,1596.7
45.762291,6.711411,1608.0
45.761448,6.711238,1623.3
45.761143,6.710971,1628.8
45.760693,6.711016,1638.5
45.760201,6.71128,1649.0
45.75993,6.71114,1656.2
45.759239,6.710558,1675.5
45.75901,6.710457,1681.1
45.758915,6.710472,1682.4
45.75882,6.710631,1681.7
45.758537,6.710771,1687.7
45.758289,6.710717,1694.4
45.758087,6.710783,1698.3
45.75803,6.710886,1699.6
45.758125,6.710928,1697.9
45.758217,6.71087,1696.1
45.758114,6.711006,1698.3
45.758102,6.710933,1698.4
45.758049,6.710942,1699.5
45.757938,6.711092,1701.3
45.757538,6.710835,1707.4
45.757492,6.710855,1708.0
45.757607,6.710942,1706.1
45.757504,6.71094,1707.6
45.757397,6.710682,1710.4
45.757168,6.710563,1713.5
45.756966,6.710252,1719.1
45.756874,6.71024,1718.5
45.75687,6.710056,1722.1
45.756721,6.709905,1726.5
45.756584,6.70953,1735.2
45.756615,6.709483,1737.1
45.756336,6.708877,1752.0
45.755875,6.708319,1759.7
45.755623,6.708082,1767.1
45.755402,6.708236,1768.8
45.755211,6.70818,1774.7
45.754864,6.70794,1783.7
45.75457,6.707876,1790.0
45.754421,6.707942,1792.4
45.75433,6.708092,1793.2
45.754147,6.708151,1798.7
45.753803,6.708716,1808.5
45.753613,6.708755,1814.9
45.75354,6.708984,1817.9
45.753284,6.709135,1829.0
45.753227,6.709248,1831.4
45.753017,6.709397,1840.9
45.752983,6.709519,1842.8
45.752892,6.709377,1847.0
45.752865,6.709434,1848.6
45.752529,6.709378,1865.5
45.752491,6.709136,1867.5
45.752403,6.70929,1870.7
45.752121,6.709513,1879.3
45.752415,6.709546,1868.6
45.751934,6.709527,1886.1
45.751659,6.709608,1894.7
45.751553,6.709752,1898.2
45.751266,6.709833,1907.3
45.750813,6.710266,1906.2
45.750507,6.710398,1910.3
45.750225,6.710893,1912.3
45.750118,6.711367,1913.4
45.749825,6.71199,1917.5
45.749554,6.71232,1919.2
45.749249,6.7132,1921.4
45.74873,6.714034,1924.9
45.748569,6.714216,1925.2
45.748234,6.714312,1928.2
45.747871,6.714529,1930.5
45.747704,6.714775,1931.9
45.74773,6.714957,1934.6
45.747242,6.715298,1942.1
45.747189,6.715395,1943.4
45.747044,6.716042,1952.3
45.746944,6.716186,1954.8
45.746937,6.716457,1957.4
45.746696,6.717124,1966.0
45.746574,6.717254,1970.3
45.746685,6.718072,1975.8
45.746624,6.718176,1978.2
45.746574,6.718052,1979.0
45.746395,6.717943,1983.6
45.746288,6.717724,1985.9
45.745872,6.71727,2000.0
45.745647,6.717176,2009.6
45.745533,6.717047,2013.0
45.745506,6.7171,2015.4
45.745476,6.717049,2016.0
45.745392,6.717111,2021.6
45.745304,6.717082,2025.6
45.74519,6.716775,2030.8
45.744907,6.716512,2041.3
45.74485,6.716253,2044.0
45.744667,6.716043,2047.3
45.74485,6.715904,2044.9
45.744946,6.715912,2043.6
45.744904,6.71588,2044.0
45.745033,6.715969,2041.6
45.745075,6.716004,2039.6
45.744846,6.715932,2045.0
45.744804,6.716057,2045.7
45.744308,6.716087,2054.2
45.743565,6.715632,2070.2
45.743423,6.715577,2070.7
45.743122,6.715634,2075.0
